index,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
108,Alba,TX,85275.6,79728.16666666669,76480.75,77719.91666666669,83865.5,88477.75,92867.58333333331,99975.33333333331,103650.25,115905.5,123973.1,129675.8626
109,Albany,CA,383010.1,326766.58333333326,311694.58333333326,339375.25,377773.25,417766.08333333326,452465.66666666674,483442.75,560394.6666666665,559883.4166666665,554879.2,588171.9519999999
110,Albany,GA,76072.05,72245.04166666666,67677.58333333333,69625.875,70638.20833333331,75397.27083333333,77723.27083333333,79576.02083333333,84831.60416666667,88538.60416666667,89443.525,92346.89382499999
111,Albany,IL,,,,,,61759.4,64326.33333333334,66019.0,68417.91666666669,69301.66666666669,71031.1,73588.21960000001
112,Albany,IN,,,,,47691.66666666666,47502.41666666666,47083.66666666666,54408.66666666666,56177.58333333334,58502.16666666666,58374.8,61118.4156
113,Albany,KY,,40285.142857142855,39027.083333333336,40416.833333333336,43487.16666666666,45246.83333333334,43387.0,45333.91666666666,47476.66666666666,47255.5,48937.7,50063.26709999999
114,Albany,MN,135017.6,124216.41666666669,129507.25,137808.83333333337,143455.75,164162.41666666663,198688.66666666663,207568.5,216363.41666666663,214672.66666666663,227441.7,239723.5518
115,Albany,MO,,,,58830.0,62234.66666666666,67076.83333333331,71346.41666666669,70335.16666666669,63456.5,62815.16666666666,55580.6,57136.8568
116,Albany,NY,130121.6,127150.63333333335,121997.78333333333,122345.6,120899.65,119302.15,107880.375,110045.56944444444,117988.59722222225,122208.08333333331,122875.25,129454.45901666669
117,Albany,OH,51525.1,52407.83333333334,52708.66666666666,54974.16666666666,55266.0,57956.58333333334,61119.91666666666,67560.08333333331,73534.33333333331,76983.33333333331,77488.6,81208.0528
118,Albany,OR,113625.5,106542.58333333331,104394.95833333334,110532.04166666666,115548.75,122006.75000000003,136346.20833333334,155083.7083333333,178587.91666666666,202911.37499999997,218445.7,229675.69955000002
119,Albany,WI,,52316.0,50403.33333333334,51177.66666666666,50513.25,45093.66666666666,48174.16666666666,53859.66666666666,55257.75,53529.41666666666,58774.5,61184.2545
120,Albany Township,PA,159363.0,149119.33333333337,146541.91666666663,149587.91666666663,150144.08333333337,150991.08333333337,159762.75,159974.25,153488.33333333337,161104.66666666663,170961.0,179850.97199999998
121,Albemarle,NC,37936.8,35762.5,34982.583333333336,34369.0,34210.916666666664,34761.166666666664,35083.5,36679.0,38176.083333333336,39733.0,40332.0,42106.608
122,Albert Lea,MN,36961.1,34355.666666666664,32706.5,32925.166666666664,32701.66666666667,32513.25,34139.25,36068.0,38536.16666666666,39761.66666666666,40167.7,41694.0726
123,Alberton,MT,171553.9,167057.66666666663,164750.41666666663,162638.33333333337,165800.41666666663,174121.16666666663,177136.0,194051.0833333333,200240.0833333333,210603.3333333333,219706.6,232010.1696
124,Albertville,AL,,85708.0,81497.5,77678.83333333331,82654.58333333331,82501.41666666669,82014.83333333331,92993.83333333331,94376.16666666669,105383.66666666669,112402.2,120157.9518
125,Albertville,MN,149995.6,136236.33333333337,130087.41666666669,129176.08333333331,139713.41666666663,149827.75,175443.16666666663,182781.41666666663,190594.3333333333,205903.91666666663,211994.6,223230.3138
126,Albia,IA,48132.2,47820.83333333334,47121.91666666666,45791.408333333326,46942.08333333333,49637.20833333333,49878.91666666667,52815.45833333334,54897.29166666667,56249.75,57152.45,59514.6793
127,Albion,CA,291081.0,284685.16666666674,281248.25,321583.08333333326,356136.41666666674,368374.0,384803.41666666674,416011.33333333326,453029.16666666674,465374.83333333326,453819.1,472879.5022
128,Albion,IA,,,,,,,,,37758.77777777778,38537.583333333336,33011.7,34266.1446
129,Albion,ID,,,,,,,,171090.8,190601.91666666663,212714.75,219195.6,227963.42400000003
130,Albion,IN,74585.8,69884.91666666669,67027.0,67082.58333333331,66630.25,67600.66666666669,67736.0,66060.08333333331,66497.16666666669,72957.5,78474.1,81926.96040000001
131,Albion,MI,,,,,55515.66666666666,67036.0,73592.58333333331,76429.16666666669,74445.91666666669,76982.41666666669,78017.0,83400.173
132,Albion,NE,,,,,,,,,99261.8,97968.83333333331,91195.1,95390.0746
133,Albion,NY,51613.8,52498.5,51941.16666666666,52088.58333333334,52413.08333333334,52621.16666666666,53240.58333333334,53643.5,57320.33333333334,61658.08333333334,63197.4,65914.8882
134,Albion,PA,,,,108659.75,114955.41666666669,116308.91666666669,114541.41666666669,115257.41666666669,121880.16666666669,126992.0,136690.8,144482.1756
135,Albright,WV,,,,,,74421.6,73293.0,71721.75,75696.5,76161.58333333331,79381.1,81286.2464
136,Albuquerque,NM,135685.825,126772.14583333333,120411.97916666664,121663.74305555556,120254.43750000001,124203.16666666666,123215.9888888889,128579.47222222223,133535.1388888889,143719.80000000002,152920.0,161955.95818666666
137,Alburgh,VT,160872.7,172401.33333333337,172807.83333333337,171064.5,167766.08333333337,178080.5,189960.75,194272.91666666663,205310.5,215206.16666666663,207410.5,215084.6885
138,Alburnett,IA,,,,,,,78045.2,81240.91666666669,83851.66666666669,81558.33333333331,79841.2,83114.6892
139,Alburtis,PA,176543.6,160916.41666666663,149424.75,149756.5,147507.0,146466.91666666663,144395.25,145542.58333333337,156050.91666666663,164016.41666666663,167683.5,175396.94100000002
140,Alcoa,TN,,,,,,,99029.0,90272.33333333331,96751.08333333331,113249.08333333331,127916.4,134056.3872
